metric,nicheflow,nicheflow_cfm_unaligned,nicheflow_vfm,otcfm,otcfm_1025,otcfm_spatial_1025
test/c2st/acc,0.933,0.60175,0.5935,0.9975000000000002,0.9985,0.99775
test/c2st/auc,0.9808485909293784,0.640939901220922,0.6188133170675395,1.0,0.9999962488512107,0.999997498107944
test/c2st/graph_acc,,0.62925,0.60875,,0.99975,0.9995
test/c2st/graph_auc,,0.6799787499999999,0.65189125,,1.0,1.0
test/c2st/pos_acc,0.6937499999999999,0.5902499999999999,0.58125,0.6635,0.63375,0.4975
test/ct/acc,0.4191033138401559,0.543859649122807,0.6062378167641326,0.4008145257084676,0.5310178678980124,0.7773539449909657
test/ct/acc_gap,0.0526315789473684,0.0019493177387914,0.0155945419103313,0.2866112336670626,0.1837984340493876,0.0311182493475206
test/ct/acc_gen,0.3001949317738791,0.3255360623781676,0.3079922027290448,0.2752418123197013,0.3403934952820718,0.5940574181891186
test/ct/acc_real,0.2475633528265107,0.3235867446393762,0.2923976608187134,0.561853045986764,0.5241919293314595,0.6251756675366392
test/ct/f1,0.3796511899437456,0.4941075517337453,0.5714975018183492,0.3781352628686669,0.3683562183556892,0.7325489828002717
test/ct/prop_jsd,0.0613898232623311,0.0246492365121279,0.0164380460475852,0.0175662645247601,0.1990353656259701,0.0298626508146625
test/ct/prop_kl,0.5429619692095371,0.1133676247528724,0.1584384315990965,0.0751366576101012,7.311675196781518,0.3681724587582164
test/ct/prop_tv,0.2124756335282651,0.1929824561403508,0.1403508771929824,0.1549295774647887,0.4689821321019875,0.151074081509737
test/mmd2/pos,0.0139274597167968,0.0080037117004394,0.0279293060302734,0.0795049667358398,0.0728797912597656,-0.0003614425659179
test/mmd2/x,0.0324568748474121,0.002812385559082,0.0030269622802734,0.2558255195617676,0.3691568374633789,0.3391075134277344
test/moran/corr,0.6838414106218459,0.9373757556155982,0.9810690459220318,0.4807368659994803,0.0963144104100786,0.73457663269591
test/moran/gen_mean,0.0815522861348906,0.1118403636905584,0.1751959217816817,-0.0002914215906166,-1.9811166287557336e-05,0.2485546281846358
test/moran/mae,0.1247947436613316,0.0769167665952546,0.0229575060596776,0.2530209549807973,0.2569150358353438,0.077667395594554
test/moran/real_mean,0.1886813688917142,0.1886813470691625,0.1886813688917142,0.2527295333901806,0.2568952246690562,0.2568931854540293
test/ot_w1/pos,0.2752602554232719,0.1921404239831605,0.214151090841682,0.2174880672858561,0.2808733174708321,0.0486704695890656
test/ot_w1/x,7.228195636391657,5.470923857152449,5.20659796220064,25.383809157609925,29.070308925569083,28.795225523889066
test/ot_w2/pos,0.3346748590406585,0.2279475176816525,0.2770794951312771,0.2610359497817375,0.3372844274654634,0.0583891243053353
test/ot_w2/x,7.321585424169879,5.595995366053003,5.382947588361874,30.64683650777052,35.94007370565362,35.567080327132985
test/pos/mae,0.4996621012687683,0.5527551174163818,0.5321759581565857,,,
test/pos/mse,0.3924542665481567,0.5015013217926025,0.4506222605705261,,,
test/psd/max,0.3619673899004207,0.1559599394340867,0.1639635224575772,0.6652563897279336,0.606325651009132,0.2445428545173629
test/psd/mean,0.0231650213170694,0.0199262328669798,0.0195825674907871,0.0656150857133863,0.050335942179011,0.0140981761721141
test/spd/max,0.9021901045282046,0.3617182093147131,0.2250442098010322,0.0540674694899606,0.0436687807402487,0.1008573514359591
test/spd/mean,0.0619054045417263,0.0178156110918583,0.0137801863512979,0.0136821122309771,0.0128525716238709,0.0117056102653488
test/x/mae,1.0725276470184326,1.057148575782776,1.0623681545257568,,,
test/x/mse,1.941229462623596,1.9171124696731567,1.9589605331420896,,,
