metric,nicheflow_cfm_unaligned,nicheflow_vfm,otcfm_1025,otcfm_spatial_1025
test/c2st/acc,0.6045,0.5897500000000001,0.9985,0.9985
test/c2st/auc,0.6420557005850983,0.6191029827729798,0.999967490043826,0.9999312283757644
test/c2st/nn,0.5361,0.3705,0.0,0.0
test/c2st/nn_flip,0.474,0.1655,0.0,0.0
test/c2st/nn_real_ref,0.68845,0.46065,0.96535,0.9628000000000002
test/c2st/nn_std,0.1616378359172134,0.1768042703104198,0.0,0.0
test/c2st/pos_acc,0.5902499999999999,0.58125,0.6315,0.4977500000000001
test/ct/acc,0.3957115009746588,0.378167641325536,0.384962858863682,0.5557117044770127
test/ct/acc_gap,0.3034502923976608,0.3073489278752436,0.2623549488054607,0.0682172254567355
test/ct/acc_gen,0.2865497076023391,0.2826510721247563,0.3276450511945392,0.5217827745432644
test/ct/acc_real,0.59,0.59,0.59,0.59
test/ct/f1,0.3608473582040386,0.3532045050641634,0.268234739033596,0.5274806323084608
test/ct/prop_jsd,0.0192522506939771,0.0119966665123893,0.1629703734864862,0.0605077877802516
test/ct/prop_kl,0.0845532508362966,0.0515579687116126,3.674832546836036,1.592409800544908
test/ct/prop_tv,0.1734892787524366,0.1325536062378167,0.4683798434049387,0.1625175667536639
test/mmd2/pos,0.0080041885375976,0.0279293060302734,0.0660638809204101,-0.0005035400390625
test/mmd2/x,0.002810001373291,0.0030269622802734,0.5434341430664062,0.5296883583068848
test/moran/corr,0.9373756976942824,0.9810690481640216,-0.0475028255513327,0.3695960513904339
test/moran/gen_mean,0.1118404116792917,0.1751959676440891,-1.2734608885273671e-05,0.1941871204841247
test/moran/mae,0.0769167222555128,0.022957506430677,0.1886941490921643,0.1140422054685535
test/moran/real_mean,0.188681414483279,0.188681414483279,0.188681414483279,0.188681414483279
test/ot_w1/pos,0.1921404239831605,0.214151090841682,0.431071827496911,0.0807623072247951
test/ot_w1/x,5.470924941837786,5.2065995301604415,7.094998958051213,7.077621691584583
test/ot_w2/pos,0.2279475176816525,0.2770794951312771,0.5063310325004963,0.0972024450691158
test/ot_w2/x,5.595996961564769,5.382949224377225,7.287441909699191,7.272742078608436
test/psd/max,0.1559599394340867,0.1639635224575772,1.1483872225213316,0.4508825802164938
test/psd/mean,0.0199262328669798,0.0195825674907871,0.0872296959999714,0.0237273456009466
test/recon/mse_gap,0.0094882845878601,0.0098876357078552,0.4553588628768921,0.4940559566020965
test/recon/mse_gen,0.8661045432090759,0.8854804635047913,0.4202339649200439,0.3815368711948395
test/recon/mse_real,0.875592827796936,0.875592827796936,0.875592827796936,0.875592827796936
test/spd/max,0.3617182093147131,0.2250442098010322,0.0714642188439974,0.1787518009501728
test/spd/mean,0.0178156110918583,0.0137801863512979,0.0215769033585908,0.0196211635881116
