metric,value
test/c2st/acc,0.933
test/c2st/auc,0.9808485909293783
test/c2st/pos_acc,0.6937499999999999
test/ct/acc,0.4191033138401559
test/ct/acc_gap,0.05263157894736842
test/ct/acc_gen,0.3001949317738791
test/ct/acc_real,0.2475633528265107
test/ct/f1,0.3796511899437456
test/ct/prop_jsd,0.061389823262331104
test/ct/prop_kl,0.5429619692095371
test/ct/prop_tv,0.2124756335282651
test/mmd2/pos,0.013927459716796875
test/mmd2/x,0.03245687484741211
test/moran/corr,0.6838414106218459
test/moran/gen_mean,0.08155228613489067
test/moran/mae,0.12479474366133168
test/moran/real_mean,0.18868136889171425
test/ot_w1/pos,0.2752602554232719
test/ot_w1/x,7.228195636391657
test/ot_w2/pos,0.3346748590406585
test/ot_w2/x,7.321585424169879
test/pos/mae,0.4996621012687683
test/pos/mse,0.39245426654815674
test/psd/max,0.3619673899004207
test/psd/mean,0.023165021317069493
test/spd/max,0.9021901045282046
test/spd/mean,0.061905404541726376
test/x/mae,1.0725276470184326
test/x/mse,1.9412294626235962
