metric,value
test/c2st/acc,0.60175
test/c2st/auc,0.640939901220922
test/c2st/graph_acc,0.62925
test/c2st/graph_auc,0.6799787499999999
test/c2st/pos_acc,0.5902499999999999
test/ct/acc,0.543859649122807
test/ct/acc_gap,0.001949317738791423
test/ct/acc_gen,0.3255360623781676
test/ct/acc_real,0.3235867446393762
test/ct/f1,0.4941075517337453
test/ct/prop_jsd,0.024649236512127935
test/ct/prop_kl,0.1133676247528724
test/ct/prop_tv,0.19298245614035084
test/mmd2/pos,0.008003711700439453
test/mmd2/x,0.0028123855590820312
test/moran/corr,0.9373757556155982
test/moran/gen_mean,0.11184036369055846
test/moran/mae,0.07691676659525462
test/moran/real_mean,0.1886813470691625
test/ot_w1/pos,0.19214042398316053
test/ot_w1/x,5.470923857152449
test/ot_w2/pos,0.22794751768165256
test/ot_w2/x,5.595995366053003
test/pos/mae,0.5527551174163818
test/pos/mse,0.5015013217926025
test/psd/max,0.1559599394340867
test/psd/mean,0.019926232866979827
test/spd/max,0.36171820931471316
test/spd/mean,0.017815611091858394
test/x/mae,1.0571485757827759
test/x/mse,1.9171124696731567
