metric,value
test/c2st/acc,0.6045
test/c2st/auc,0.6420557005850983
test/c2st/gene_acc,0.60125
test/c2st/gene_auc,0.6334170510350077
test/c2st/nn,0.5361
test/c2st/nn_flip,0.474
test/c2st/nn_real_ref,0.68845
test/c2st/nn_std,0.1616378359172134
test/c2st/pos_acc,0.5902499999999999
test/ct/acc,0.39571150097465885
test/ct/acc_gap,0.3034502923976608
test/ct/acc_gen,0.28654970760233917
test/ct/acc_real,0.59
test/ct/f1,0.3608473582040386
test/ct/prop_jsd,0.01925225069397715
test/ct/prop_kl,0.08455325083629665
test/ct/prop_tv,0.17348927875243664
test/mmd2/pos,0.008004188537597656
test/mmd2/x,0.0028100013732910156
test/moran/corr,0.9373756976942824
test/moran/gen_mean,0.11184041167929173
test/moran/mae,0.07691672225551283
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.19214042398316053
test/ot_w1/x,5.470924941837786
test/ot_w2/pos,0.22794751768165256
test/ot_w2/x,5.595996961564769
test/psd/max,0.1559599394340867
test/psd/mean,0.019926232866979827
test/recon/mse_gap,0.009488284587860107
test/recon/mse_gen,0.8661045432090759
test/recon/mse_real,0.875592827796936
test/spd/max,0.36171820931471316
test/spd/mean,0.017815611091858394
