metric,value
test/c2st/acc,0.9795
test/c2st/auc,0.99766345228978
test/c2st/gene_acc,0.9727499999999999
test/c2st/gene_auc,0.9972092776738316
test/c2st/nn,0.03735
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.9759000000000001
test/c2st/nn_std,0.06760160870866906
test/c2st/pos_acc,0.70275
test/ct/acc,0.37816764132553604
test/ct/acc_gap,0.3769064327485381
test/ct/acc_gen,0.30409356725146197
test/ct/acc_real,0.681
test/ct/f1,0.34075347944729045
test/ct/prop_jsd,0.0731323538996768
test/ct/prop_kl,1.0790120963578713
test/ct/prop_tv,0.20662768031189083
test/mmd2/pos,0.017537593841552734
test/mmd2/x,0.04695606231689453
test/moran/corr,0.8265478295761531
test/moran/gen_mean,0.4487588666322587
test/moran/mae,0.14174905768833426
test/moran/real_mean,0.5114030329518944
test/ot_w1/pos,0.29542882498497763
test/ot_w1/x,4.415731178328393
test/ot_w2/pos,0.349965631123845
test/ot_w2/x,4.753094386547526
test/psd/max,0.4938581802427847
test/psd/mean,0.024933532870812607
test/recon/mse_gap,0.4722888469696045
test/recon/mse_gen,3.4483861923217773
test/recon/mse_real,2.976097345352173
test/spd/max,0.8844905662659416
test/spd/mean,0.05900344198485056
