metric,value
test/c2st/acc,0.6045
test/c2st/auc,0.6420557005850983
test/c2st/graph_acc,0.6279999999999999
test/c2st/graph_auc,0.67750875
test/c2st/pos_acc,0.5902499999999999
test/ct/acc,0.253411306042885
test/ct/acc_gap,0.13427777777777777
test/ct/acc_gen,0.2222222222222222
test/ct/acc_real,0.3565
test/ct/f1,0.24039201180241115
test/ct/prop_jsd,0.016527154784923344
test/ct/prop_kl,0.07000412555952695
test/ct/prop_tv,0.13840155945419103
test/mmd2/pos,0.008004188537597656
test/mmd2/x,0.0028100013732910156
test/moran/corr,0.9373756976942824
test/moran/gen_mean,0.11184041167929173
test/moran/mae,0.07691672225551283
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.19214042398316053
test/ot_w1/x,5.470924941837786
test/ot_w2/pos,0.22794751768165256
test/ot_w2/x,5.595996961564769
test/psd/max,0.1559599394340867
test/psd/mean,0.019926232866979827
test/spd/max,0.36171820931471316
test/spd/mean,0.017815611091858394
