metric,value
test/c2st/acc,0.5935
test/c2st/auc,0.6188133170675395
test/c2st/pos_acc,0.58125
test/ct/acc,0.6062378167641326
test/ct/acc_gap,0.015594541910331383
test/ct/acc_gen,0.3079922027290448
test/ct/acc_real,0.29239766081871343
test/ct/f1,0.5714975018183492
test/ct/prop_jsd,0.01643804604758522
test/ct/prop_kl,0.15843843159909654
test/ct/prop_tv,0.14035087719298242
test/mmd2/pos,0.027929306030273438
test/mmd2/x,0.0030269622802734375
test/moran/corr,0.9810690459220318
test/moran/gen_mean,0.17519592178168175
test/moran/mae,0.022957506059677626
test/moran/real_mean,0.18868136889171425
test/ot_w1/pos,0.21415109084168207
test/ot_w1/x,5.20659796220064
test/ot_w2/pos,0.2770794951312771
test/ot_w2/x,5.382947588361874
test/pos/mae,0.5321759581565857
test/pos/mse,0.4506222605705261
test/psd/max,0.1639635224575772
test/psd/mean,0.019582567490787184
test/spd/max,0.2250442098010322
test/spd/mean,0.013780186351297912
test/x/mae,1.0623681545257568
test/x/mse,1.9589605331420898
