metric,value
test/c2st/acc,0.5897500000000001
test/c2st/auc,0.6191029827729798
test/c2st/nn,0.3705
test/c2st/nn_flip,0.1655
test/c2st/nn_real_ref,0.46065
test/c2st/nn_std,0.17680427031041981
test/c2st/pos_acc,0.58125
test/ct/acc,0.37816764132553604
test/ct/acc_gap,0.30734892787524365
test/ct/acc_gen,0.2826510721247563
test/ct/acc_real,0.59
test/ct/f1,0.35320450506416345
test/ct/prop_jsd,0.011996666512389332
test/ct/prop_kl,0.05155796871161264
test/ct/prop_tv,0.13255360623781676
test/mmd2/pos,0.027929306030273438
test/mmd2/x,0.0030269622802734375
test/moran/corr,0.9810690481640216
test/moran/gen_mean,0.17519596764408912
test/moran/mae,0.02295750643067707
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.21415109084168207
test/ot_w1/x,5.2065995301604415
test/ot_w2/pos,0.2770794951312771
test/ot_w2/x,5.382949224377225
test/psd/max,0.1639635224575772
test/psd/mean,0.019582567490787184
test/recon/mse_gap,0.009887635707855225
test/recon/mse_gen,0.8854804635047913
test/recon/mse_real,0.875592827796936
test/spd/max,0.2250442098010322
test/spd/mean,0.013780186351297912
