metric,value
test/c2st/acc,0.5897500000000001
test/c2st/auc,0.6191029827729798
test/c2st/graph_acc,0.6002500000000001
test/c2st/graph_auc,0.64429125
test/c2st/pos_acc,0.58125
test/ct/acc,0.2553606237816764
test/ct/acc_gap,0.1615682261208577
test/ct/acc_gen,0.1949317738791423
test/ct/acc_real,0.3565
test/ct/f1,0.25261070415579173
test/ct/prop_jsd,0.0052578709177289
test/ct/prop_kl,0.02253607675923372
test/ct/prop_tv,0.056530214424951264
test/mmd2/pos,0.027929306030273438
test/mmd2/x,0.0030269622802734375
test/moran/corr,0.9810690481640216
test/moran/gen_mean,0.17519596764408912
test/moran/mae,0.02295750643067707
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.21415109084168207
test/ot_w1/x,5.2065995301604415
test/ot_w2/pos,0.2770794951312771
test/ot_w2/x,5.382949224377225
test/psd/max,0.1639635224575772
test/psd/mean,0.019582567490787184
test/spd/max,0.2250442098010322
test/spd/mean,0.013780186351297912
