metric,value
test/c2st/acc,0.5912499999999999
test/c2st/auc,0.6136604064903356
test/c2st/gene_acc,0.5882499999999999
test/c2st/gene_auc,0.6218233528477917
test/c2st/nn,0.32089999999999996
test/c2st/nn_flip,0.1
test/c2st/nn_real_ref,0.38959999999999995
test/c2st/nn_std,0.17280969301517782
test/c2st/pos_acc,0.56325
test/ct/acc,0.3996101364522417
test/ct/acc_gap,0.3287914230019493
test/ct/acc_gen,0.26120857699805067
test/ct/acc_real,0.59
test/ct/f1,0.3721136528896897
test/ct/prop_jsd,0.011329508094017695
test/ct/prop_kl,0.04784946901408037
test/ct/prop_tv,0.14035087719298245
test/mmd2/pos,0.03807210922241211
test/mmd2/x,0.004510402679443359
test/moran/corr,0.9677130356719936
test/moran/gen_mean,0.1899361055042242
test/moran/mae,0.025143930996994992
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.27032859582373975
test/ot_w1/x,5.164549899607916
test/ot_w2/pos,0.3313955915085632
test/ot_w2/x,5.359098212537826
test/psd/max,0.22814276068972802
test/psd/mean,0.019641942984786512
test/recon/mse_gap,0.03922325372695923
test/recon/mse_gen,0.8363695740699768
test/recon/mse_real,0.875592827796936
test/spd/max,0.2500280792370628
test/spd/mean,0.013958679702375895
