metric,value
test/c2st/acc,0.9975000000000002
test/c2st/auc,1.0
test/c2st/pos_acc,0.6635
test/ct/acc,0.40081452570846765
test/ct/acc_gap,0.28661123366706265
test/ct/acc_gen,0.27524181231970135
test/ct/acc_real,0.561853045986764
test/ct/f1,0.37813526286866694
test/ct/prop_jsd,0.01756626452476016
test/ct/prop_kl,0.07513665761010123
test/ct/prop_tv,0.1549295774647887
test/mmd2/pos,0.07950496673583984
test/mmd2/x,0.2558255195617676
test/moran/corr,0.4807368659994803
test/moran/gen_mean,-0.00029142159061669714
test/moran/mae,0.2530209549807973
test/moran/real_mean,0.2527295333901806
test/ot_w1/pos,0.2174880672858561
test/ot_w1/x,25.383809157609925
test/ot_w2/pos,0.2610359497817375
test/ot_w2/x,30.64683650777052
test/psd/max,0.6652563897279336
test/psd/mean,0.06561508571338633
test/spd/max,0.054067469489960614
test/spd/mean,0.0136821122309771
