metric,value
test/c2st/acc,0.9984999999999999
test/c2st/auc,0.9999962488512107
test/c2st/graph_acc,0.99975
test/c2st/graph_auc,1.0
test/c2st/pos_acc,0.63375
test/ct/acc,0.5310178678980124
test/ct/acc_gap,0.18379843404938767
test/ct/acc_gen,0.34039349528207186
test/ct/acc_real,0.5241919293314595
test/ct/f1,0.3683562183556892
test/ct/prop_jsd,0.19903536562597016
test/ct/prop_kl,7.311675196781518
test/ct/prop_tv,0.4689821321019875
test/mmd2/pos,0.07287979125976562
test/mmd2/x,0.3691568374633789
test/moran/corr,0.09631441041007868
test/moran/gen_mean,-1.9811166287557336e-05
test/moran/mae,0.2569150358353438
test/moran/real_mean,0.25689522466905623
test/ot_w1/pos,0.28087331747083216
test/ot_w1/x,29.070308925569083
test/ot_w2/pos,0.33728442746546344
test/ot_w2/x,35.94007370565362
test/psd/max,0.606325651009132
test/psd/mean,0.05033594217901109
test/spd/max,0.043668780740248735
test/spd/mean,0.012852571623870932
