metric,value
test/c2st/acc,0.9984999999999999
test/c2st/auc,0.999967490043826
test/c2st/nn,0.0
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.96535
test/c2st/nn_std,0.0
test/c2st/pos_acc,0.6315
test/ct/acc,0.384962858863682
test/ct/acc_gap,0.26235494880546073
test/ct/acc_gen,0.32764505119453924
test/ct/acc_real,0.59
test/ct/f1,0.26823473903359607
test/ct/prop_jsd,0.16297037348648621
test/ct/prop_kl,3.674832546836036
test/ct/prop_tv,0.46837984340493877
test/mmd2/pos,0.06606388092041016
test/mmd2/x,0.5434341430664062
test/moran/corr,-0.04750282555133278
test/moran/gen_mean,-1.2734608885273673e-05
test/moran/mae,0.1886941490921643
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.431071827496911
test/ot_w1/x,7.094998958051213
test/ot_w2/pos,0.5063310325004963
test/ot_w2/x,7.287441909699191
test/psd/max,1.1483872225213316
test/psd/mean,0.08722969599997145
test/recon/mse_gap,0.4553588628768921
test/recon/mse_gen,0.42023396492004395
test/recon/mse_real,0.875592827796936
test/spd/max,0.07146421884399742
test/spd/mean,0.02157690335859086
