metric,value
test/c2st/acc,1.0
test/c2st/auc,1.0
test/c2st/gene_acc,1.0
test/c2st/gene_auc,1.0
test/c2st/nn,0.0
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.9504000000000001
test/c2st/nn_std,0.0
test/c2st/pos_acc,0.6315
test/ct/acc,0.35896406344107606
test/ct/acc_gap,0.2894579401726561
test/ct/acc_gen,0.3005420598273439
test/ct/acc_real,0.59
test/ct/f1,0.26045678445121706
test/ct/prop_jsd,0.11168558234250124
test/ct/prop_kl,0.7153491700891826
test/ct/prop_tv,0.4049387673158001
test/mmd2/pos,0.06606388092041016
test/mmd2/x,0.4272184371948242
test/moran/corr,-0.1165144407579241
test/moran/gen_mean,-0.0003050523330455136
test/moran/mae,0.18898646681632456
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.431071827496911
test/ot_w1/x,6.54622932285071
test/ot_w2/pos,0.5063310325004963
test/ot_w2/x,6.719866037525403
test/psd/max,1.1483872225213316
test/psd/mean,0.08722969599997145
test/recon/mse_gap,0.7327727973461151
test/recon/mse_gen,0.14282003045082092
test/recon/mse_real,0.875592827796936
test/spd/max,0.07146421884399742
test/spd/mean,0.02157690335859086
