metric,value
test/c2st/acc,0.9962499999999999
test/c2st/auc,0.9993771182632585
test/c2st/gene_acc,0.9964999999999999
test/c2st/gene_auc,0.9999299719887954
test/c2st/nn,0.008000000000000002
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.9628000000000002
test/c2st/nn_std,0.028390139133156782
test/c2st/pos_acc,0.6315
test/ct/acc,0.49196948403934954
test/ct/acc_gap,0.35094579401726567
test/ct/acc_gen,0.3300542059827344
test/ct/acc_real,0.681
test/ct/f1,0.34957676045598984
test/ct/prop_jsd,0.1452908825415823
test/ct/prop_kl,1.014482839446665
test/ct/prop_tv,0.44408753262397105
test/mmd2/pos,0.06606388092041016
test/mmd2/x,0.017086505889892578
test/moran/corr,0.5143364774442201
test/moran/gen_mean,-9.101422722624107e-05
test/moran/mae,0.5114940471791206
test/moran/real_mean,0.5114030329518944
test/ot_w1/pos,0.431071827496911
test/ot_w1/x,2.612332889564334
test/ot_w2/pos,0.5063310325004963
test/ot_w2/x,3.0189910003709195
test/psd/max,1.1483872225213316
test/psd/mean,0.08722969599997145
test/recon/mse_gap,1.9153339862823486
test/recon/mse_gen,4.8914313316345215
test/recon/mse_real,2.976097345352173
test/spd/max,0.07146421884399742
test/spd/mean,0.02157690335859086
