metric,value
test/c2st/acc,0.9984999999999999
test/c2st/auc,0.999967490043826
test/c2st/graph_acc,0.99875
test/c2st/graph_auc,1.0
test/c2st/pos_acc,0.6315
test/ct/acc,0.11674362577795623
test/ct/acc_gap,0.29737532623971086
test/ct/acc_gen,0.0591246737602891
test/ct/acc_real,0.3565
test/ct/f1,0.030671006594777228
test/ct/prop_jsd,0.4591809282015689
test/ct/prop_kl,9.020519294491605
test/ct/prop_tv,0.8410961654286286
test/mmd2/pos,0.06606388092041016
test/mmd2/x,0.5434341430664062
test/moran/corr,-0.04750282555133278
test/moran/gen_mean,-1.2734608885273673e-05
test/moran/mae,0.1886941490921643
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.431071827496911
test/ot_w1/x,7.094998958051213
test/ot_w2/pos,0.5063310325004963
test/ot_w2/x,7.287441909699191
test/psd/max,1.1483872225213316
test/psd/mean,0.08722969599997145
test/spd/max,0.07146421884399742
test/spd/mean,0.02157690335859086
