metric,value
test/c2st/acc,0.9977500000000001
test/c2st/auc,0.9999974981079441
test/c2st/graph_acc,0.9995
test/c2st/graph_auc,1.0
test/c2st/pos_acc,0.49750000000000005
test/ct/acc,0.7773539449909657
test/ct/acc_gap,0.03111824934752061
test/ct/acc_gen,0.5940574181891186
test/ct/acc_real,0.6251756675366392
test/ct/f1,0.7325489828002717
test/ct/prop_jsd,0.02986265081466253
test/ct/prop_kl,0.36817245875821647
test/ct/prop_tv,0.151074081509737
test/mmd2/pos,-0.00036144256591796875
test/mmd2/x,0.3391075134277344
test/moran/corr,0.73457663269591
test/moran/gen_mean,0.24855462818463586
test/moran/mae,0.07766739559455406
test/moran/real_mean,0.25689318545402934
test/ot_w1/pos,0.04867046958906562
test/ot_w1/x,28.795225523889062
test/ot_w2/pos,0.05838912430533532
test/ot_w2/x,35.567080327132985
test/psd/max,0.2445428545173629
test/psd/mean,0.01409817617211411
test/spd/max,0.10085735143595917
test/spd/mean,0.011705610265348814
