metric,value
test/c2st/acc,0.9984999999999999
test/c2st/auc,0.9999312283757643
test/c2st/nn,0.0
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.9628000000000002
test/c2st/nn_std,0.0
test/c2st/pos_acc,0.4977500000000001
test/ct/acc,0.5557117044770127
test/ct/acc_gap,0.06821722545673559
test/ct/acc_gen,0.5217827745432644
test/ct/acc_real,0.59
test/ct/f1,0.5274806323084608
test/ct/prop_jsd,0.06050778778025163
test/ct/prop_kl,1.592409800544908
test/ct/prop_tv,0.1625175667536639
test/mmd2/pos,-0.0005035400390625
test/mmd2/x,0.5296883583068848
test/moran/corr,0.36959605139043394
test/moran/gen_mean,0.1941871204841247
test/moran/mae,0.11404220546855354
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.08076230722479516
test/ot_w1/x,7.077621691584583
test/ot_w2/pos,0.09720244506911581
test/ot_w2/x,7.272742078608436
test/psd/max,0.45088258021649386
test/psd/mean,0.02372734560094664
test/recon/mse_gap,0.49405595660209656
test/recon/mse_gen,0.3815368711948395
test/recon/mse_real,0.875592827796936
test/spd/max,0.17875180095017282
test/spd/mean,0.01962116358811161
