metric,value
test/c2st/acc,1.0
test/c2st/auc,1.0
test/c2st/gene_acc,1.0
test/c2st/gene_auc,1.0
test/c2st/nn,0.0
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.9519500000000001
test/c2st/nn_std,0.0
test/c2st/pos_acc,0.4977500000000001
test/ct/acc,0.5461754667737402
test/ct/acc_gap,0.07132905039148763
test/ct/acc_gen,0.5186709496085123
test/ct/acc_real,0.59
test/ct/f1,0.5178713576101878
test/ct/prop_jsd,0.042192937245786176
test/ct/prop_kl,0.33989618466124266
test/ct/prop_tv,0.1335073278458141
test/mmd2/pos,-0.0005035400390625
test/mmd2/x,0.42063188552856445
test/moran/corr,-0.005030912243037075
test/moran/gen_mean,0.2904153692673021
test/moran/mae,0.1726412999437461
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.08076230722479516
test/ot_w1/x,6.543200350880598
test/ot_w2/pos,0.09720244506911581
test/ot_w2/x,6.71665106398752
test/psd/max,0.45088258021649386
test/psd/mean,0.02372734560094664
test/recon/mse_gap,0.7620633244514465
test/recon/mse_gen,0.1135295033454895
test/recon/mse_real,0.875592827796936
test/spd/max,0.17875180095017282
test/spd/mean,0.01962116358811161
