metric,value
test/c2st/acc,0.99725
test/c2st/auc,0.9994409135573656
test/c2st/gene_acc,0.9967500000000001
test/c2st/gene_auc,0.9999662364945978
test/c2st/nn,0.00515
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.96445
test/c2st/nn_std,0.022988638498179927
test/c2st/pos_acc,0.4977500000000001
test/ct/acc,0.8018470186709497
test/ct/acc_gap,0.08202389078498296
test/ct/acc_gen,0.5989761092150171
test/ct/acc_real,0.681
test/ct/f1,0.7790860784153211
test/ct/prop_jsd,0.012767685060396557
test/ct/prop_kl,0.12091911003462655
test/ct/prop_tv,0.08161011845011037
test/mmd2/pos,-0.0005035400390625
test/mmd2/x,0.013050556182861328
test/moran/corr,0.9582110025804925
test/moran/gen_mean,0.32785635228308485
test/moran/mae,0.18354668066880947
test/moran/real_mean,0.5114030329518944
test/ot_w1/pos,0.08076230722479516
test/ot_w1/x,2.5646175865605487
test/ot_w2/pos,0.09720244506911581
test/ot_w2/x,2.9757753034929357
test/psd/max,0.45088258021649386
test/psd/mean,0.02372734560094664
test/recon/mse_gap,0.12914037704467773
test/recon/mse_gen,3.1052377223968506
test/recon/mse_real,2.976097345352173
test/spd/max,0.17875180095017282
test/spd/mean,0.01962116358811161
