metric,value
test/c2st/acc,0.9984999999999999
test/c2st/auc,0.9999312283757643
test/c2st/graph_acc,0.99875
test/c2st/graph_auc,0.999995
test/c2st/pos_acc,0.4977500000000001
test/ct/acc,0.22174262196346115
test/ct/acc_gap,0.2855303151977514
test/ct/acc_gen,0.07096968480224855
test/ct/acc_real,0.3565
test/ct/f1,0.1292692701239229
test/ct/prop_jsd,0.20310391983687504
test/ct/prop_kl,2.6642386924011525
test/ct/prop_tv,0.5778960048183095
test/mmd2/pos,-0.0005035400390625
test/mmd2/x,0.5296883583068848
test/moran/corr,0.36959605139043394
test/moran/gen_mean,0.1941871204841247
test/moran/mae,0.11404220546855354
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.08076230722479516
test/ot_w1/x,7.077621691584583
test/ot_w2/pos,0.09720244506911581
test/ot_w2/x,7.272742078608436
test/psd/max,0.45088258021649386
test/psd/mean,0.02372734560094664
test/spd/max,0.17875180095017282
test/spd/mean,0.01962116358811161
