metric,value
test/c2st/acc,0.654
test/c2st/auc,0.6970850641878827
test/c2st/gene_acc,0.6519999999999999
test/c2st/gene_auc,0.6948424313442623
test/c2st/nn,0.54845
test/c2st/nn_flip,0.513
test/c2st/nn_real_ref,0.7056
test/c2st/nn_std,0.15870600965306889
test/c2st/pos_acc,0.55225
test/ct/acc,0.4346978557504873
test/ct/acc_gap,0.21573099415204677
test/ct/acc_gen,0.3742690058479532
test/ct/acc_real,0.59
test/ct/f1,0.4103399611413574
test/ct/prop_jsd,0.021362907662385345
test/ct/prop_kl,0.20254011799540778
test/ct/prop_tv,0.16569200779727097
test/mmd2/pos,0.0026903152465820312
test/mmd2/x,0.006123065948486328
test/moran/corr,0.8294676381735655
test/moran/gen_mean,0.03028190862043398
test/moran/mae,0.15839950586284507
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.1416918326604498
test/ot_w1/x,5.517509393215181
test/ot_w2/pos,0.17431605669844838
test/ot_w2/x,5.619840261267514
test/psd/max,0.8232972757520723
test/psd/mean,0.02931055888872115
test/recon/mse_gap,0.02046269178390503
test/recon/mse_gen,0.8960555195808411
test/recon/mse_real,0.875592827796936
test/spd/max,0.1567872423535603
test/spd/mean,0.021181815430922863
